timestamp hhmmss.ss, status A/V, sensortype, sensorid, measurementid, measurementvalue, qualityfactor, checksum
104516.00, A, DVTLAM, 1, P, 14.31, 15, 2F
104516.00, V, DVTLAM, 1, A, 10.75, 15, 2D
104516.00, V, DVTLAM, 1, B, 8.56, 15, 16
104516.00, V, DVTLAM, 1, R, 10.25, 15, 3B
104516.00, V, DVTLAM, 1, D, 224.63, 15, 1A
104516.00, V, DVTLAM, 1, T, 1.44, 15, 0A
104516.00, V, DVTLAM, 1, S, 47.25, 15, 38
104516.00, V, DVTLAS, 1, R, 9.25, 0, 29
104516.00, V, DVTLAS, 1, A, 9.5, 0, 38
104516.00, V, DVTLAS, 1, B, 5.44, 0, 32
104516.00, V, DVTLAS, 1, P, 13.06, 0, 11
104516.00, V, DVTLAS, 1, D, 226.88, 15, 03
104516.00, A, TEY, 2, H, nan, 15, 53
104516.00, V, TSP, 1, X, 0.11, 15, 56
104516.00, V, TSP, 1, Y, 1.44, 15, 56
104519.00, V, DVTLAM, 1, P, 14.31, 15, 37
104519.00, V, DVTLAM, 1, A, 10.75, 15, 22
104519.00, V, DVTLAM, 1, B, 8.56, 15, 19
104519.00, V, DVTLAM, 1, R, 10.25, 15, 34
104519.00, A, DVTLAM, 1, D, 222.13, 15, 03
104519.00, A, DVTLAM, 1, T, 1.31, 15, 10
104519.00, V, DVTLAM, 1, S, 47.25, 15, 37
104519.00, A, DVTLAS, 1, R, 9.69, 12, 0A
104519.00, V, DVTLAS, 1, A, 9.5, 12, 04
104519.00, V, DVTLAS, 1, B, 5.44, 12, 0E
104519.00, V, DVTLAS, 1, P, 13.06, 12, 2D
104519.00, A, DVTLAS, 1, D, 227.06, 15, 1C
104519.00, A, TEY, 2, O, 5.19, 15, 48
104519.00, A, TEY, 2, C, 0.44, 15, 49
104519.00, A, TEY, 2, F, 0.0, 15, 4C
104519.00, A, TEY, 2, H, 5.63, 15, 42
104519.00, V, TSP, 1, X, 0.11, 15, 59
104519.00, V, TSP, 1, Y, 1.44, 15, 59
104522.00, A, DVTLAM, 1, R, 16.81, 15, 23
104522.00, V, DVTLAM, 1, A, 10.75, 15, 2A
104522.00, V, DVTLAM, 1, B, 8.56, 15, 11
104522.00, V, DVTLAM, 1, P, 14.31, 15, 3F
104522.00, V, DVTLAM, 1, D, 222.13, 15, 1C
104522.00, V, DVTLAM, 1, T, 1.31, 15, 0F
104522.00, V, DVTLAM, 1, S, 47.25, 15, 3F
104522.00, A, DVTLAS, 1, B, 8.06, 15, 1D
104522.00, V, DVTLAS, 1, A, 9.5, 15, 0B
104522.00, V, DVTLAS, 1, R, 9.69, 15, 12
104522.00, V, DVTLAS, 1, P, 13.06, 15, 22
104522.00, V, DVTLAS, 1, D, 227.06, 15, 03
104522.00, A, TEY, 2, O, 4.19, 15, 41
104522.00, A, TEY, 2, C, 2.94, 15, 4E
104522.00, A, TEY, 2, F, 0.0, 15, 44
104522.00, A, TEY, 2, H, 7.13, 15, 4F
104522.00, V, TSP, 1, X, 0.11, 15, 51
104522.00, V, TSP, 1, Y, 1.44, 15, 51
104525.00, V, DVTLAM, 1, R, 16.81, 15, 33
104525.00, V, DVTLAM, 1, A, 10.75, 15, 2D
104525.00, V, DVTLAM, 1, B, 8.56, 15, 16
104525.00, V, DVTLAM, 1, P, 14.31, 15, 38
104525.00, A, DVTLAM, 1, D, 226.56, 15, 09
104525.00, V, DVTLAM, 1, T, 1.31, 15, 08
104525.00, A, DVTLAM, 1, S, 40.06, 15, 29
104525.00, V, DVTLAS, 1, B, 8.06, 15, 0D
104525.00, V, DVTLAS, 1, A, 9.5, 15, 0C
104525.00, V, DVTLAS, 1, R, 9.69, 15, 15
104525.00, V, DVTLAS, 1, P, 13.06, 15, 25
104525.00, A, DVTLAS, 1, D, 227.13, 15, 17
104525.00, A, TEY, 2, O, 4.06, 15, 48
104525.00, A, TEY, 2, C, 0.0, 15, 46
104525.00, A, TEY, 2, F, 0.0, 15, 43
104525.00, A, TEY, 2, H, 4.06, 15, 4F
104525.00, A, TSP, 1, Y, 1.44, 0, 75
104525.00, V, TSP, 1, X, 0.11, 0, 62
104528.00, A, DVTLAM, 1, A, 19.94, 1, 04
104528.00, V, DVTLAM, 1, B, 8.56, 1, 2E
104528.00, V, DVTLAM, 1, R, 16.81, 1, 0B
104528.00, V, DVTLAM, 1, P, 14.31, 1, 00
