timestamp hhmmss.ss, status A/V, sensortype, sensorid, measurementid, measurementvalue, qualityfactor, checksum
231312.00, A, DVTLAM, 1, R, 17.5, 13, 28
231312.00, V, DVTLAM, 1, A, 10.06, 13, 28
231312.00, V, DVTLAM, 1, B, 7.94, 13, 16
231312.00, V, DVTLAM, 1, P, 15.81, 13, 33
231312.00, A, DVTLAM, 1, D, 288.06, 15, 0F
231312.00, V, DVTLAM, 1, T, 1.81, 15, 04
231312.00, V, DVTLAM, 1, S, 43.25, 15, 3B
231312.00, V, DVTLAS, 1, A, 17.69, 15, 3E
231312.00, V, DVTLAS, 1, B, 8.25, 15, 0B
231312.00, V, DVTLAS, 1, R, 12.63, 15, 22
231312.00, V, DVTLAS, 1, P, 11.31, 15, 24
231312.00, A, DVTLAS, 1, D, 287.63, 15, 1D
231312.00, A, TEY, 2, H, nan, 15, 54
231312.00, A, TSP, 1, Y, 1.29, 1, 78
231312.00, V, TSP, 1, X, 0.07, 1, 63
231315.00, V, DVTLAM, 1, R, 17.5, 13, 38
231315.00, V, DVTLAM, 1, A, 10.06, 13, 2F
231315.00, V, DVTLAM, 1, B, 7.94, 13, 11
231315.00, V, DVTLAM, 1, P, 15.81, 13, 34
231315.00, A, DVTLAM, 1, D, 286.44, 15, 00
231315.00, V, DVTLAM, 1, T, 1.81, 15, 03
231315.00, V, DVTLAM, 1, S, 43.25, 15, 3C
231315.00, V, DVTLAS, 1, A, 17.69, 15, 39
231315.00, V, DVTLAS, 1, B, 8.25, 15, 0C
231315.00, V, DVTLAS, 1, R, 12.63, 15, 25
231315.00, V, DVTLAS, 1, P, 11.31, 15, 23
231315.00, A, DVTLAS, 1, D, 286.56, 15, 1D
231315.00, A, TEY, 2, O, 5.5, 15, 4A
231315.00, A, TEY, 2, C, 0.0, 15, 46
231315.00, A, TEY, 2, F, 0.0, 15, 43
231315.00, A, TEY, 2, H, 5.5, 15, 4D
231315.00, V, TSP, 1, Y, 1.29, 1, 68
231315.00, V, TSP, 1, X, 0.07, 1, 64
231318.00, A, DVTLAM, 1, A, 13.0, 1, 03
231318.00, V, DVTLAM, 1, B, 7.94, 1, 2F
231318.00, V, DVTLAM, 1, R, 17.5, 1, 06
231318.00, V, DVTLAM, 1, P, 15.81, 1, 0A
231318.00, A, DVTLAM, 1, D, 289.5, 15, 07
231318.00, A, DVTLAM, 1, T, 1.75, 15, 12
231318.00, A, DVTLAM, 1, S, 46.38, 15, 2F
231318.00, A, DVTLAS, 1, B, 5.88, 1, 29
231318.00, V, DVTLAS, 1, A, 17.69, 1, 01
231318.00, V, DVTLAS, 1, R, 17.56, 1, 1E
231318.00, V, DVTLAS, 1, P, 11.31, 1, 1B
231318.00, A, DVTLAS, 1, D, 286.0, 15, 13
231318.00, A, TEY, 2, O, 5.31, 15, 40
231318.00, A, TEY, 2, C, 0.0, 15, 4B
231318.00, A, TEY, 2, F, 0.0, 15, 4E
231318.00, A, TEY, 2, H, 5.31, 15, 47
231318.00, V, TSP, 1, Y, 1.29, 1, 65
231318.00, V, TSP, 1, X, 0.07, 1, 69
231321.00, V, DVTLAM, 1, A, 13.0, 1, 1E
231321.00, V, DVTLAM, 1, B, 7.94, 1, 25
231321.00, V, DVTLAM, 1, R, 17.5, 1, 0C
