timestamp hhmmss.ss, status A/V, sensortype, sensorid, measurementid, measurementvalue, qualityfactor, checksum
022545.00, A, DVTLAM, 1, A, 19.63, 1, 02
022545.00, V, DVTLAM, 1, B, 9.13, 1, 20
022545.00, V, DVTLAM, 1, R, 7.81, 1, 35
022545.00, V, DVTLAM, 1, P, 17.69, 1, 00
022545.00, A, DVTLAM, 1, D, 265.19, 15, 06
022545.00, V, DVTLAM, 1, T, 1.81, 15, 00
022545.00, V, DVTLAM, 1, S, 38.13, 15, 36
022545.00, A, DVTLAS, 1, B, 10.06, 1, 15
022545.00, V, DVTLAS, 1, A, 13.56, 1, 07
022545.00, V, DVTLAS, 1, R, 2.31, 1, 25
022545.00, V, DVTLAS, 1, P, 13.63, 1, 10
022545.00, A, DVTLAS, 1, D, 263.69, 0, 2D
022545.00, A, TEY, 2, O, 5.13, 15, 4E
022545.00, A, TEY, 2, C, 0.0, 15, 45
022545.00, A, TEY, 2, F, 2.0, 15, 42
022545.00, A, TEY, 2, H, 5.13, 15, 49
022545.00, V, TSP, 1, X, 0.0, 12, 52
022545.00, V, TSP, 1, Y, 1.62, 12, 56
022548.00, V, DVTLAM, 1, A, 19.63, 1, 18
022548.00, V, DVTLAM, 1, B, 9.13, 1, 2D
022548.00, V, DVTLAM, 1, R, 7.81, 1, 38
022548.00, V, DVTLAM, 1, P, 17.69, 1, 0D
022548.00, A, DVTLAM, 1, D, 268.31, 15, 0C
022548.00, V, DVTLAM, 1, T, 1.81, 15, 0D
022548.00, V, DVTLAM, 1, S, 38.13, 15, 3B
022548.00, V, DVTLAS, 1, B, 10.06, 1, 0F
022548.00, V, DVTLAS, 1, A, 13.56, 1, 0A
022548.00, V, DVTLAS, 1, R, 2.31, 1, 28
022548.00, V, DVTLAS, 1, P, 13.63, 1, 1D
022548.00, A, DVTLAS, 1, D, 269.0, 14, 10
022548.00, A, TEY, 2, O, 4.88, 15, 40
022548.00, A, TEY, 2, C, 0.0, 15, 48
022548.00, A, TEY, 2, F, 2.0, 15, 4F
022548.00, A, TEY, 2, H, 4.88, 15, 47
022548.00, V, TSP, 1, X, 0.0, 12, 5F
022548.00, V, TSP, 1, Y, 1.62, 12, 5B
022551.00, A, DVTLAM, 1, R, 7.19, 14, 12
022551.00, V, DVTLAM, 1, A, 19.63, 14, 24
022551.00, V, DVTLAM, 1, B, 9.13, 14, 11
022551.00, V, DVTLAM, 1, P, 17.69, 14, 31
022551.00, A, DVTLAM, 1, D, 267.44, 15, 09
022551.00, A, DVTLAM, 1, T, 1.81, 15, 12
022551.00, A, DVTLAM, 1, S, 44.88, 14, 2C
022551.00, A, DVTLAS, 1, P, 13.94, 15, 3F
022551.00, V, DVTLAS, 1, A, 13.56, 15, 37
022551.00, V, DVTLAS, 1, B, 10.06, 15, 32
022551.00, V, DVTLAS, 1, R, 2.31, 15, 15
022551.00, A, DVTLAS, 1, D, 265.06, 15, 13
022551.00, A, TEY, 2, O, 5.25, 15, 4E
022551.00, A, TEY, 2, C, 0.0, 15, 40
022551.00, A, TEY, 2, F, 0.0, 15, 45
022551.00, A, TEY, 2, H, 5.25, 15, 49
022551.00, A, TSP, 1, Y, 1.64, 15, 45
022551.00, V, TSP, 1, X, 0.0, 15, 50
022554.00, V, DVTLAM, 1, R, 7.19, 14, 00
022554.00, V, DVTLAM, 1, A, 19.63, 14, 21
022554.00, V, DVTLAM, 1, B, 9.13, 14, 14
022554.00, V, DVTLAM, 1, P, 17.69, 14, 34
022554.00, V, DVTLAM, 1, D, 267.44, 15, 1B
022554.00, V, DVTLAM, 1, T, 1.81, 15, 00
022554.00, V, DVTLAM, 1, S, 44.88, 14, 3E
022554.00, V, DVTLAS, 1, P, 13.94, 15, 2D
022554.00, V, DVTLAS, 1, A, 13.56, 15, 32
022554.00, V, DVTLAS, 1, B, 10.06, 15, 37
022554.00, V, DVTLAS, 1, R, 2.31, 15, 10
022554.00, V, DVTLAS, 1, D, 265.06, 15, 01
022554.00, A, TEY, 2, O, 5.25, 15, 4B
