timestamp hhmmss.ss, status A/V, sensortype, sensorid, measurementid, measurementvalue, qualityfactor, checksum
070849.00, V, TSP, 1, X, 0.06, 15, 55
070849.00, V, TSP, 1, Y, 1.34, 15, 54
070852.00, A, DVTLAM, 1, P, 14.19, 15, 2A
070852.00, V, DVTLAM, 1, A, 11.94, 15, 2C
070852.00, V, DVTLAM, 1, B, 7.25, 15, 12
070852.00, V, DVTLAM, 1, R, 26.19, 15, 3E
070852.00, A, DVTLAM, 1, D, 241.0, 15, 04
070852.00, V, DVTLAM, 1, T, 5.63, 15, 04
070852.00, A, DVTLAM, 1, S, 48.94, 15, 25
070852.00, V, DVTLAS, 1, P, 13.63, 15, 29
070852.00, V, DVTLAS, 1, A, 10.69, 15, 31
070852.00, V, DVTLAS, 1, B, 4.75, 15, 0A
070852.00, V, DVTLAS, 1, R, 13.0, 15, 2E
070852.00, A, DVTLAS, 1, D, 236.31, 15, 18
070852.00, A, TEY, 2, O, 4.63, 15, 44
070852.00, A, TEY, 2, C, 0.0, 15, 49
070852.00, A, TEY, 2, F, 0.0, 15, 4C
070852.00, A, TEY, 2, H, 4.63, 15, 43
070852.00, A, TSP, 1, Y, 1.13, 10, 49
070852.00, V, TSP, 1, X, 0.06, 10, 5A
070855.00, A, DVTLAM, 1, P, 14.38, 15, 2E
070855.00, V, DVTLAM, 1, A, 11.94, 15, 2B
070855.00, V, DVTLAM, 1, B, 7.25, 15, 15
070855.00, V, DVTLAM, 1, R, 26.19, 15, 39
070855.00, A, DVTLAM, 1, D, 244.44, 15, 06
070855.00, A, DVTLAM, 1, T, 6.19, 15, 1A
070855.00, V, DVTLAM, 1, S, 48.94, 15, 35
070855.00, A, DVTLAS, 1, R, 20.44, 15, 3E
070855.00, V, DVTLAS, 1, A, 10.69, 15, 36
070855.00, V, DVTLAS, 1, B, 4.75, 15, 0D
070855.00, V, DVTLAS, 1, P, 13.63, 15, 2E
070855.00, A, DVTLAS, 1, D, 248.0, 3, 23
070855.00, A, TEY, 2, O, 4.5, 15, 43
070855.00, A, TEY, 2, C, 0.0, 15, 4E
070855.00, A, TEY, 2, F, 0.0, 15, 4B
070855.00, A, TEY, 2, H, 4.5, 15, 44
070855.00, V, TSP, 1, Y, 1.13, 10, 59
070855.00, V, TSP, 1, X, 0.06, 10, 5D
070859.00, V, DVTLAM, 1, P, 14.38, 15, 35
070859.00, V, DVTLAM, 1, A, 11.94, 15, 27
070859.00, V, DVTLAM, 1, B, 7.25, 15, 19
070859.00, V, DVTLAM, 1, R, 26.19, 15, 35
070859.00, A, DVTLAM, 1, D, 240.25, 15, 09
070859.00, V, DVTLAM, 1, T, 6.19, 15, 01
070859.00, V, DVTLAM, 1, S, 48.94, 15, 39
070859.00, V, DVTLAS, 1, R, 20.44, 15, 25
070859.00, V, DVTLAS, 1, A, 10.69, 15, 3A
070859.00, V, DVTLAS, 1, B, 4.75, 15, 01
070859.00, V, DVTLAS, 1, P, 13.63, 15, 22
070859.00, V, DVTLAS, 1, D, 248.0, 3, 38
070859.00, A, TEY, 2, O, 4.5, 15, 4F
070859.00, A, TEY, 2, C, 0.0, 15, 42
070859.00, A, TEY, 2, F, 0.0, 15, 47
070859.00, A, TEY, 2, H, 4.5, 15, 48
070859.00, V, TSP, 1, Y, 1.13, 10, 55
070859.00, V, TSP, 1, X, 0.06, 10, 51
070902.00, V, DVTLAM, 1, P, 14.38, 15, 3A
070902.00, V, DVTLAM, 1, A, 11.94, 15, 28
070902.00, V, DVTLAM, 1, B, 7.25, 15, 16
070902.00, V, DVTLAM, 1, R, 26.19, 15, 3A
070902.00, V, DVTLAM, 1, D, 240.25, 15, 11
070902.00, V, DVTLAM, 1, T, 6.19, 15, 0E
070902.00, V, DVTLAM, 1, S, 48.94, 15, 36
070902.00, A, DVTLAS, 1, R, 20.44, 0, 09
070902.00, V, DVTLAS, 1, A, 10.69, 0, 01
070902.00, V, DVTLAS, 1, B, 4.75, 0, 3A
070902.00, V, DVTLAS, 1, P, 13.63, 0, 19
070902.00, A, DVTLAS, 1, D, 244.06, 15, 1D
070902.00, A, TEY, 2, O, 4.44, 15, 45
070902.00, A, TEY, 2, C, 0.0, 15, 4D
070902.00, A, TEY, 2, F, 0.0, 15, 48
070902.00, A, TEY, 2, H, 4.44, 15, 42
070902.00, V, TSP, 1, Y, 1.13, 10, 5A
070902.00, V, TSP, 1, X, 0.06, 10, 5E
070905.00, A, DVTLAM, 1, R, 27.06, 15, 25
070905.00, V, DVTLAM, 1, A, 11.94, 15, 2F
070905.00, V, DVTLAM, 1, B, 7.25, 15, 11
070905.00, V, DVTLAM, 1, P, 14.38, 15, 3D
070905.00, A, DVTLAM, 1, D, 242.19, 15, 0C
070905.00, V, DVTLAM, 1, T, 6.19, 15, 09
070905.00, A, DVTLAM, 1, S, 48.63, 15, 2E
070905.00, A, DVTLAS, 1, B, 4.75, 0, 2A
070905.00, V, DVTLAS, 1, A, 10.69, 0, 06
070905.00, V, DVTLAS, 1, R, 20.44, 0, 19
070905.00, V, DVTLAS, 1, P, 13.63, 0, 1E
070905.00, A, DVTLAS, 1, D, 241.31, 15, 1B
070905.00, A, TEY, 2, O, 4.5, 15, 47
070905.00, A, TEY, 2, C, 0.0, 15, 4A
070905.00, A, TEY, 2, F, 0.0, 15, 4F
070905.00, A, TEY, 2, H, 4.5, 15, 40
070905.00, V, TSP, 1, Y, 1.13, 10, 5D
070905.00, V, TSP, 1, X, 0.06, 10, 59
070908.00, V, DVTLAM, 1, R, 27.06, 15, 3F
070908.00, V, DVTLAM, 1, A, 11.94, 15, 22
070908.00, V, DVTLAM, 1, B, 7.25, 15, 1C
070908.00, V, DVTLAM, 1, P, 14.38, 15, 30
070908.00, A, DVTLAM, 1, D, 241.81, 15, 03
070908.00, A, DVTLAM, 1, T, 5.19, 15, 10
070908.00, V, DVTLAM, 1, S, 48.63, 15, 34
070908.00, V, DVTLAS, 1, B, 4.75, 0, 30
070908.00, V, DVTLAS, 1, A, 10.69, 0, 0B
070908.00, V, DVTLAS, 1, R, 20.44, 0, 14
070908.00, V, DVTLAS, 1, P, 13.63, 0, 13
070908.00, V, DVTLAS, 1, D, 241.31, 15, 01
070908.00, A, TEY, 2, O, 4.38, 15, 44
070908.00, A, TEY, 2, C, 0.0, 15, 47
070908.00, A, TEY, 2, F, 0.0, 15, 42
070908.00, A, TEY, 2, H, 4.38, 15, 43
070908.00, A, TSP, 1, X, 0.06, 15, 46
070908.00, V, TSP, 1, Y, 1.13, 15, 55
070911.00, A, DVTLAM, 1, A, 13.88, 15, 32
070911.00, V, DVTLAM, 1, B, 7.25, 15, 14
070911.00, V, DVTLAM, 1, R, 27.06, 15, 37
070911.00, V, DVTLAM, 1, P, 14.38, 15, 38
070911.00, A, DVTLAM, 1, D, 240.56, 15, 00
070911.00, V, DVTLAM, 1, T, 5.19, 15, 0F
070911.00, V, DVTLAM, 1, S, 48.63, 15, 3C
070911.00, A, DVTLAS, 1, B, 8.19, 15, 1D
070911.00, V, DVTLAS, 1, A, 10.69, 15, 37
070911.00, V, DVTLAS, 1, R, 24.88, 15, 2C
070911.00, V, DVTLAS, 1, P, 13.63, 15, 2F
070911.00, A, DVTLAS, 1, D, 243.0, 15, 1E
070911.00, A, TEY, 2, O, 4.44, 15, 47
070911.00, A, TEY, 2, C, 0.0, 15, 4F
070911.00, A, TEY, 2, F, 0.0, 15, 4A
070911.00, A, TEY, 2, H, 4.44, 15, 40
070911.00, V, TSP, 1, X, 0.06, 15, 59
070911.00, V, TSP, 1, Y, 1.13, 15, 5D
070914.00, V, DVTLAM, 1, A, 13.88, 15, 20
070914.00, V, DVTLAM, 1, B, 7.25, 15, 11
070914.00, V, DVTLAM, 1, R, 27.06, 15, 32
070914.00, V, DVTLAM, 1, P, 14.38, 15, 3D
070914.00, V, DVTLAM, 1, D, 240.56, 15, 12
070914.00, V, DVTLAM, 1, T, 5.19, 15, 0A
070914.00, V, DVTLAM, 1, S, 48.63, 15, 39
070914.00, V, DVTLAS, 1, B, 8.19, 15, 0F
070914.00, V, DVTLAS, 1, A, 10.69, 15, 32
070914.00, V, DVTLAS, 1, R, 24.88, 15, 29
070914.00, V, DVTLAS, 1, P, 13.63, 15, 2A
070914.00, A, DVTLAS, 1, D, 242.13, 15, 18
070914.00, A, TEY, 2, O, 4.38, 15, 49
070914.00, A, TEY, 2, C, 0.0, 15, 4A
070914.00, A, TEY, 2, F, 0.0, 15, 4F
070914.00, A, TEY, 2, H, 4.38, 15, 4E
070914.00, V, TSP, 1, X, 0.06, 15, 5C
070914.00, V, TSP, 1, Y, 1.13, 15, 58
070917.00, A, DVTLAM, 1, R, 25.75, 15, 20
070917.00, V, DVTLAM, 1, A, 13.88, 15, 23
070917.00, V, DVTLAM, 1, B, 7.25, 15, 12
070917.00, V, DVTLAM, 1, P, 14.38, 15, 3E
070917.00, A, DVTLAM, 1, D, 242.5, 15, 02
070917.00, V, DVTLAM, 1, T, 5.19, 15, 09
070917.00, A, DVTLAM, 1, S, 51.38, 15, 2B
070917.00, A, DVTLAS, 1, P, 14.0, 15, 3C
070917.00, V, DVTLAS, 1, A, 10.69, 15, 31
070917.00, V, DVTLAS, 1, B, 8.19, 15, 0C
070917.00, V, DVTLAS, 1, R, 24.88, 15, 2A
070917.00, A, DVTLAS, 1, D, 245.5, 15, 1B
070917.00, A, TEY, 2, O, 4.25, 15, 46
070917.00, A, TEY, 2, C, 0.0, 15, 49
070917.00, A, TEY, 2, F, 0.0, 15, 4C
070917.00, A, TEY, 2, H, 4.25, 15, 41
070917.00, A, TSP, 1, Y, 1.03, 15, 4D
070917.00, V, TSP, 1, X, 0.06, 15, 5F
070920.00, A, DVTLAM, 1, B, 7.44, 15, 06
070920.00, V, DVTLAM, 1, A, 13.88, 15, 27
070920.00, V, DVTLAM, 1, R, 25.75, 15, 33
