timestamp hhmmss.ss, status A/V, sensortype, sensorid, measurementid, measurementvalue, qualityfactor, checksum
124558.00, A, DVTLAM, 1, R, 22.69, 15, 2D
124558.00, V, DVTLAM, 1, A, 10.44, 15, 27
124558.00, V, DVTLAM, 1, B, 5.63, 15, 15
124558.00, V, DVTLAM, 1, P, 16.88, 15, 30
124558.00, A, DVTLAM, 1, D, 248.44, 15, 0A
124558.00, V, DVTLAM, 1, T, 3.94, 15, 0D
124558.00, V, DVTLAM, 1, S, 48.19, 15, 30
124558.00, A, DVTLAS, 1, R, 21.63, 15, 3A
124558.00, V, DVTLAS, 1, A, 11.5, 15, 3D
124558.00, V, DVTLAS, 1, B, 5.38, 15, 05
124558.00, V, DVTLAS, 1, P, 16.94, 15, 23
124558.00, A, DVTLAS, 1, D, 250.0, 15, 1D
124558.00, A, TEY, 2, O, 4.44, 10, 43
124558.00, A, TEY, 2, C, 0.0, 10, 4B
124558.00, A, TEY, 2, F, 0.0, 10, 4E
124558.00, A, TEY, 2, H, 4.44, 10, 44
124558.00, V, TSP, 1, X, 0.01, 15, 5F
124558.00, V, TSP, 1, Y, 0.99, 15, 5F
124601.00, V, DVTLAM, 1, R, 22.69, 15, 35
124601.00, V, DVTLAM, 1, A, 10.44, 15, 28
124601.00, V, DVTLAM, 1, B, 5.63, 15, 1A
124601.00, V, DVTLAM, 1, P, 16.88, 15, 3F
124601.00, V, DVTLAM, 1, D, 248.44, 15, 12
124601.00, V, DVTLAM, 1, T, 3.94, 15, 02
124601.00, V, DVTLAM, 1, S, 48.19, 15, 3F
124601.00, A, DVTLAS, 1, R, 21.63, 0, 01
124601.00, V, DVTLAS, 1, A, 11.5, 0, 06
124601.00, V, DVTLAS, 1, B, 5.38, 0, 3E
124601.00, V, DVTLAS, 1, P, 16.94, 0, 18
124601.00, A, DVTLAS, 1, D, 251.25, 15, 14
124601.00, A, TEY, 2, O, 5.0, 15, 48
124601.00, A, TEY, 2, C, 0.0, 15, 41
124601.00, A, TEY, 2, F, 3.0, 15, 47
124601.00, A, TEY, 2, H, 5.0, 15, 4F
124601.00, V, TSP, 1, X, 0.01, 15, 50
124601.00, V, TSP, 1, Y, 0.99, 15, 50
124604.00, A, DVTLAM, 1, A, 17.69, 1, 07
124604.00, V, DVTLAM, 1, B, 5.63, 1, 2A
124604.00, V, DVTLAM, 1, R, 22.69, 1, 05
124604.00, V, DVTLAM, 1, P, 16.88, 1, 0F
124604.00, A, DVTLAM, 1, D, 248.44, 15, 00
124604.00, V, DVTLAM, 1, T, 3.94, 15, 07
124604.00, V, DVTLAM, 1, S, 48.19, 15, 3A
124604.00, V, DVTLAS, 1, R, 21.63, 0, 13
124604.00, V, DVTLAS, 1, A, 11.5, 0, 03
124604.00, V, DVTLAS, 1, B, 5.38, 0, 3B
124604.00, V, DVTLAS, 1, P, 16.94, 0, 1D
124604.00, V, DVTLAS, 1, D, 251.25, 15, 06
124604.00, A, TEY, 2, O, 5.13, 15, 4F
124604.00, A, TEY, 2, C, 0.0, 15, 44
124604.00, A, TEY, 2, F, 0.0, 15, 41
124604.00, A, TEY, 2, H, 5.13, 15, 48
124604.00, V, TSP, 1, X, 0.01, 15, 55
124604.00, V, TSP, 1, Y, 0.99, 15, 55
124607.00, V, DVTLAM, 1, A, 17.69, 1, 13
124607.00, V, DVTLAM, 1, B, 5.63, 1, 29
124607.00, V, DVTLAM, 1, R, 22.69, 1, 06
124607.00, V, DVTLAM, 1, P, 16.88, 1, 0C
124607.00, A, DVTLAM, 1, D, 248.56, 15, 00
124607.00, A, DVTLAM, 1, T, 3.94, 15, 13
124607.00, A, DVTLAM, 1, S, 49.81, 15, 2E
124607.00, A, DVTLAS, 1, R, 14.56, 15, 33
124607.00, V, DVTLAS, 1, A, 11.5, 15, 34
124607.00, V, DVTLAS, 1, B, 5.38, 15, 0C
124607.00, V, DVTLAS, 1, P, 16.94, 15, 2A
124607.00, A, DVTLAS, 1, D, 251.69, 15, 1A
124607.00, A, TEY, 2, O, 5.31, 15, 4C
124607.00, A, TEY, 2, C, 2.25, 15, 42
124607.00, A, TEY, 2, F, 0.0, 15, 42
124607.00, A, TEY, 2, H, 7.56, 15, 48
124607.00, A, TSP, 1, Y, 1.79, 10, 4B
124607.00, V, TSP, 1, X, 0.01, 10, 53
124610.00, V, DVTLAM, 1, A, 17.69, 1, 15
124610.00, V, DVTLAM, 1, B, 5.63, 1, 2F
124610.00, V, DVTLAM, 1, R, 22.69, 1, 00
124610.00, V, DVTLAM, 1, P, 16.88, 1, 0A
124610.00, V, DVTLAM, 1, D, 248.56, 15, 11
124610.00, V, DVTLAM, 1, T, 3.94, 15, 02
124610.00, V, DVTLAM, 1, S, 49.81, 15, 3F
124610.00, V, DVTLAS, 1, R, 14.56, 15, 22
124610.00, V, DVTLAS, 1, A, 11.5, 15, 32
124610.00, V, DVTLAS, 1, B, 5.38, 15, 0A
124610.00, V, DVTLAS, 1, P, 16.94, 15, 2C
124610.00, A, DVTLAS, 1, D, 248.25, 15, 1C
124610.00, A, TEY, 2, O, 5.19, 15, 40
124610.00, A, TEY, 2, C, 1.56, 15, 43
124610.00, A, TEY, 2, F, 0.0, 15, 44
124610.00, A, TEY, 2, H, 6.75, 15, 4E
124610.00, V, TSP, 1, Y, 1.79, 10, 5A
124610.00, V, TSP, 1, X, 0.01, 10, 55
124613.00, A, DVTLAM, 1, B, 5.69, 15, 04
124613.00, V, DVTLAM, 1, A, 17.69, 15, 23
124613.00, V, DVTLAM, 1, R, 16.0, 15, 3E
124613.00, V, DVTLAM, 1, P, 16.88, 15, 3C
124613.00, A, DVTLAM, 1, D, 252.56, 15, 0E
124613.00, V, DVTLAM, 1, T, 3.94, 15, 01
124613.00, V, DVTLAM, 1, S, 49.81, 15, 3C
124613.00, A, DVTLAS, 1, B, 7.38, 15, 1C
124613.00, V, DVTLAS, 1, A, 11.5, 15, 31
124613.00, V, DVTLAS, 1, R, 14.56, 15, 21
124613.00, V, DVTLAS, 1, P, 16.94, 15, 2F
124613.00, A, DVTLAS, 1, D, 249.81, 15, 10
124613.00, A, TEY, 2, O, 5.19, 10, 46
124613.00, A, TEY, 2, C, 1.56, 10, 45
124613.00, A, TEY, 2, F, 0.0, 10, 42
124613.00, A, TEY, 2, H, 6.75, 10, 48
124613.00, V, TSP, 1, Y, 1.79, 10, 59
124613.00, V, TSP, 1, X, 0.01, 10, 56
124616.00, V, DVTLAM, 1, B, 5.69, 15, 16
124616.00, V, DVTLAM, 1, A, 17.69, 15, 26
124616.00, V, DVTLAM, 1, R, 16.0, 15, 3B
124616.00, V, DVTLAM, 1, P, 16.88, 15, 39
124616.00, V, DVTLAM, 1, D, 252.56, 15, 1C
124616.00, A, DVTLAM, 1, T, 3.94, 15, 13
124616.00, A, DVTLAM, 1, S, 49.63, 15, 22
124616.00, V, DVTLAS, 1, B, 7.38, 15, 0E
124616.00, V, DVTLAS, 1, A, 11.5, 15, 34
124616.00, V, DVTLAS, 1, R, 14.56, 15, 24
124616.00, V, DVTLAS, 1, P, 16.94, 15, 2A
124616.00, A, DVTLAS, 1, D, 249.06, 15, 1A
124616.00, A, TEY, 2, O, 4.06, 15, 49
124616.00, A, TEY, 2, C, 0.0, 15, 47
124616.00, A, TEY, 2, F, 0.0, 15, 42
124616.00, A, TEY, 2, H, 4.06, 15, 4E
124616.00, V, TSP, 1, Y, 1.79, 10, 5C
124616.00, V, TSP, 1, X, 0.01, 10, 53
124619.00, V, DVTLAM, 1, B, 5.69, 15, 19
124619.00, V, DVTLAM, 1, A, 17.69, 15, 29
124619.00, V, DVTLAM, 1, R, 16.0, 15, 34
124619.00, V, DVTLAM, 1, P, 16.88, 15, 36
124619.00, A, DVTLAM, 1, D, 244.06, 15, 06
124619.00, V, DVTLAM, 1, T, 3.94, 15, 0B
124619.00, V, DVTLAM, 1, S, 49.63, 15, 3A
124619.00, A, DVTLAS, 1, P, 13.19, 15, 32
124619.00, V, DVTLAS, 1, A, 11.5, 15, 3B
124619.00, V, DVTLAS, 1, B, 7.38, 15, 01
124619.00, V, DVTLAS, 1, R, 14.56, 15, 2B
124619.00, V, DVTLAS, 1, D, 249.06, 15, 02
124619.00, A, TEY, 2, O, 4.0, 15, 40
124619.00, A, TEY, 2, C, 0.0, 15, 48
124619.00, A, TEY, 2, F, 0.0, 15, 4D
124619.00, A, TEY, 2, H, 4.0, 15, 47
124619.00, V, TSP, 1, Y, 1.79, 10, 53
124619.00, V, TSP, 1, X, 0.01, 10, 5C
124622.00, A, DVTLAM, 1, P, 15.88, 15, 2A
124622.00, V, DVTLAM, 1, A, 17.69, 15, 21
124622.00, V, DVTLAM, 1, B, 5.69, 15, 11
124622.00, V, DVTLAM, 1, R, 16.0, 15, 3C
124622.00, A, DVTLAM, 1, D, 248.44, 15, 04
124622.00, V, DVTLAM, 1, T, 3.94, 15, 03
124622.00, V, DVTLAM, 1, S, 49.63, 15, 32
124622.00, V, DVTLAS, 1, P, 13.19, 15, 2D
124622.00, V, DVTLAS, 1, A, 11.5, 15, 33
124622.00, V, DVTLAS, 1, B, 7.38, 15, 09
124622.00, V, DVTLAS, 1, R, 14.56, 15, 23
124622.00, A, DVTLAS, 1, D, 249.94, 15, 16
124622.00, A, TEY, 2, O, 3.81, 15, 46
124622.00, A, TEY, 2, C, 0.0, 15, 40
124622.00, A, TEY, 2, F, 0.0, 15, 45
124622.00, A, TEY, 2, H, 3.81, 15, 41
124622.00, A, TSP, 1, X, -0.11, 15, 6A
124622.00, V, TSP, 1, Y, 1.79, 15, 5E
124625.00, V, DVTLAM, 1, P, 15.88, 15, 3A
124625.00, V, DVTLAM, 1, A, 17.69, 15, 26
124625.00, V, DVTLAM, 1, B, 5.69, 15, 16
124625.00, V, DVTLAM, 1, R, 16.0, 15, 3B
124625.00, V, DVTLAM, 1, D, 248.44, 15, 14
124625.00, V, DVTLAM, 1, T, 3.94, 15, 04
124625.00, V, DVTLAM, 1, S, 49.63, 15, 35
124625.00, A, DVTLAS, 1, P, 14.88, 15, 32
124625.00, V, DVTLAS, 1, A, 11.5, 15, 34
124625.00, V, DVTLAS, 1, B, 7.38, 15, 0E
124625.00, V, DVTLAS, 1, R, 14.56, 15, 24
124625.00, A, DVTLAS, 1, D, 249.19, 15, 14
124625.00, A, TEY, 2, O, 3.81, 10, 44
124625.00, A, TEY, 2, C, 0.0, 10, 42
124625.00, A, TEY, 2, F, 0.0, 10, 47
124625.00, A, TEY, 2, H, 3.81, 10, 43
124625.00, V, TSP, 1, X, -0.11, 15, 7A
124625.00, V, TSP, 1, Y, 1.79, 15, 59
124628.00, A, DVTLAM, 1, P, 14.5, 15, 24
124628.00, V, DVTLAM, 1, A, 17.69, 15, 2B
124628.00, V, DVTLAM, 1, B, 5.69, 15, 1B
124628.00, V, DVTLAM, 1, R, 16.0, 15, 36
124628.00, A, DVTLAM, 1, D, 248.38, 15, 05
124628.00, V, DVTLAM, 1, T, 3.94, 15, 09
124628.00, A, DVTLAM, 1, S, 50.63, 15, 27
124628.00, V, DVTLAS, 1, P, 14.88, 15, 28
124628.00, V, DVTLAS, 1, A, 11.5, 15, 39
124628.00, V, DVTLAS, 1, B, 7.38, 15, 03
124628.00, V, DVTLAS, 1, R, 14.56, 15, 29
124628.00, V, DVTLAS, 1, D, 249.19, 15, 0E
124628.00, A, TEY, 2, O, 4.25, 15, 45
124628.00, A, TEY, 2, C, 0.0, 15, 4A
124628.00, A, TEY, 2, F, 3.0, 15, 4C
124628.00, A, TEY, 2, H, 4.25, 15, 42
124628.00, V, TSP, 1, X, -0.11, 15, 77
124628.00, V, TSP, 1, Y, 1.79, 15, 54
124631.00, V, DVTLAM, 1, P, 14.5, 15, 3B
124631.00, V, DVTLAM, 1, A, 17.69, 15, 23
124631.00, V, DVTLAM, 1, B, 5.69, 15, 13
124631.00, V, DVTLAM, 1, R, 16.0, 15, 3E
124631.00, A, DVTLAM, 1, D, 248.63, 15, 03
124631.00, A, DVTLAM, 1, T, 4.19, 15, 14
124631.00, V, DVTLAM, 1, S, 50.63, 15, 38
124631.00, A, DVTLAS, 1, R, 16.19, 13, 39
124631.00, V, DVTLAS, 1, A, 11.5, 13, 37
124631.00, V, DVTLAS, 1, B, 7.38, 13, 0D
124631.00, V, DVTLAS, 1, P, 14.88, 13, 26
124631.00, A, DVTLAS, 1, D, 249.0, 15, 19
124631.00, A, TEY, 2, O, 4.38, 15, 41
124631.00, A, TEY, 2, C, 0.0, 15, 42
124631.00, A, TEY, 2, F, 0.0, 15, 47
124631.00, A, TEY, 2, H, 4.38, 15, 46
124631.00, A, TSP, 1, Y, 1.48, 15, 49
124631.00, V, TSP, 1, X, -0.11, 15, 7F
124634.00, V, DVTLAM, 1, P, 14.5, 15, 3E
124634.00, V, DVTLAM, 1, A, 17.69, 15, 26
124634.00, V, DVTLAM, 1, B, 5.69, 15, 16
124634.00, V, DVTLAM, 1, R, 16.0, 15, 3B
124634.00, V, DVTLAM, 1, D, 248.63, 15, 11
124634.00, V, DVTLAM, 1, T, 4.19, 15, 06
124634.00, V, DVTLAM, 1, S, 50.63, 15, 3D
124634.00, V, DVTLAS, 1, R, 16.19, 13, 2B
124634.00, V, DVTLAS, 1, A, 11.5, 13, 32
124634.00, V, DVTLAS, 1, B, 7.38, 13, 08
124634.00, V, DVTLAS, 1, P, 14.88, 13, 23
124634.00, V, DVTLAS, 1, D, 249.0, 15, 0B
124634.00, A, TEY, 2, O, 4.38, 15, 44
124634.00, A, TEY, 2, C, 0.0, 15, 47
124634.00, A, TEY, 2, F, 0.0, 15, 42
124634.00, A, TEY, 2, H, 4.38, 15, 43
124634.00, V, TSP, 1, Y, 1.48, 15, 5B
124634.00, V, TSP, 1, X, -0.11, 15, 7A
124637.00, A, DVTLAM, 1, R, 17.13, 0, 18
124637.00, V, DVTLAM, 1, A, 17.69, 0, 11
124637.00, V, DVTLAM, 1, B, 5.69, 0, 21
124637.00, V, DVTLAM, 1, P, 14.5, 0, 09
124637.00, A, DVTLAM, 1, D, 249.69, 15, 0E
124637.00, V, DVTLAM, 1, T, 4.19, 15, 05
124637.00, V, DVTLAM, 1, S, 50.63, 15, 3E
124637.00, A, DVTLAS, 1, A, 15.94, 15, 2C
124637.00, V, DVTLAS, 1, B, 7.38, 15, 0D
124637.00, V, DVTLAS, 1, R, 16.19, 15, 2E
124637.00, V, DVTLAS, 1, P, 14.88, 15, 26
124637.00, A, DVTLAS, 1, D, 248.88, 15, 1E
124637.00, A, TEY, 2, O, 4.56, 15, 4F
124637.00, A, TEY, 2, C, 0.0, 15, 44
124637.00, A, TEY, 2, F, 0.0, 15, 41
124637.00, A, TEY, 2, H, 4.56, 15, 48
124637.00, V, TSP, 1, Y, 1.48, 15, 58
124637.00, V, TSP, 1, X, -0.11, 15, 79
124640.00, V, DVTLAM, 1, R, 17.13, 0, 0F
124640.00, V, DVTLAM, 1, A, 17.69, 0, 11
124640.00, V, DVTLAM, 1, B, 5.69, 0, 21
124640.00, V, DVTLAM, 1, P, 14.5, 0, 09
124640.00, V, DVTLAM, 1, D, 249.69, 15, 19
124640.00, A, DVTLAM, 1, T, 3.75, 15, 1F
124640.00, A, DVTLAM, 1, S, 51.31, 15, 2F
124640.00, V, DVTLAS, 1, A, 15.94, 15, 3B
124640.00, V, DVTLAS, 1, B, 7.38, 15, 0D
124640.00, V, DVTLAS, 1, R, 16.19, 15, 2E
124640.00, V, DVTLAS, 1, P, 14.88, 15, 26
124640.00, A, DVTLAS, 1, D, 246.0, 15, 10
124640.00, A, TEY, 2, O, 4.63, 15, 49
124640.00, A, TEY, 2, C, 1.81, 15, 4C
124640.00, A, TEY, 2, F, 0.0, 15, 41
124640.00, A, TEY, 2, H, 6.44, 15, 49
124640.00, V, TSP, 1, Y, 1.48, 15, 58
124640.00, V, TSP, 1, X, -0.11, 15, 79
124643.00, A, DVTLAM, 1, B, 5.69, 0, 35
124643.00, V, DVTLAM, 1, A, 17.69, 0, 12
124643.00, V, DVTLAM, 1, R, 17.13, 0, 0C
124643.00, V, DVTLAM, 1, P, 14.5, 0, 0A
124643.00, A, DVTLAM, 1, D, 248.56, 15, 00
124643.00, V, DVTLAM, 1, T, 3.75, 15, 0B
124643.00, V, DVTLAM, 1, S, 51.31, 15, 3B
124643.00, A, DVTLAS, 1, R, 9.81, 14, 04
124643.00, V, DVTLAS, 1, A, 15.94, 14, 39
124643.00, V, DVTLAS, 1, B, 7.38, 14, 0F
124643.00, V, DVTLAS, 1, P, 14.88, 14, 24
124643.00, V, DVTLAS, 1, D, 246.0, 15, 04
124643.00, A, TEY, 2, O, 4.38, 15, 44
124643.00, A, TEY, 2, C, 1.06, 15, 40
124643.00, A, TEY, 2, F, 0.0, 15, 42
124643.00, A, TEY, 2, H, 5.38, 15, 42
124643.00, V, TSP, 1, Y, 1.48, 15, 5B
124643.00, V, TSP, 1, X, -0.11, 15, 7A
124646.00, A, DVTLAM, 1, R, 15.5, 12, 28
124646.00, V, DVTLAM, 1, A, 17.69, 12, 24
124646.00, V, DVTLAM, 1, B, 5.69, 12, 14
124646.00, V, DVTLAM, 1, P, 14.5, 12, 3C
124646.00, A, DVTLAM, 1, D, 256.5, 15, 0C
124646.00, V, DVTLAM, 1, T, 3.75, 15, 0E
124646.00, V, DVTLAM, 1, S, 51.31, 15, 3E
124646.00, A, DVTLAS, 1, B, 4.56, 15, 17
124646.00, V, DVTLAS, 1, A, 15.94, 15, 3D
124646.00, V, DVTLAS, 1, R, 9.81, 15, 17
124646.00, V, DVTLAS, 1, P, 14.88, 15, 20
124646.00, A, DVTLAS, 1, D, 250.13, 15, 13
124646.00, A, TEY, 2, O, 3.69, 15, 42
124646.00, A, TEY, 2, C, 0.0, 15, 42
