timestamp hhmmss.ss, status A/V, sensortype, sensorid, measurementid, measurementvalue, qualityfactor, checksum
193249.00, V, DVTLAM, 1, B, 4.38, 15, 11
193249.00, V, DVTLAM, 1, A, 11.19, 15, 25
193249.00, V, DVTLAM, 1, R, 7.75, 15, 0B
193249.00, V, DVTLAM, 1, P, 16.31, 15, 39
193249.00, A, DVTLAM, 1, D, 267.13, 15, 0E
193249.00, V, DVTLAM, 1, T, 4.13, 12, 09
193249.00, V, DVTLAM, 1, S, 47.5, 15, 39
193249.00, A, DVTLAS, 1, P, 12.38, 15, 3D
193249.00, V, DVTLAS, 1, A, 11.94, 15, 3E
193249.00, V, DVTLAS, 1, B, 4.69, 15, 0B
193249.00, V, DVTLAS, 1, R, 2.56, 15, 11
193249.00, A, DVTLAS, 1, D, 266.75, 15, 11
193249.00, A, TEY, 2, O, 4.75, 15, 4F
193249.00, A, TEY, 2, C, 0.0, 15, 45
193249.00, A, TEY, 2, F, 0.0, 15, 40
193249.00, A, TEY, 2, H, 4.75, 15, 48
193249.00, V, TSP, 1, X, 0.06, 15, 53
193249.00, V, TSP, 1, Y, 1.84, 15, 59
193252.00, A, DVTLAM, 1, P, 16.13, 15, 24
193252.00, V, DVTLAM, 1, A, 11.19, 15, 2F
193252.00, V, DVTLAM, 1, B, 4.38, 15, 1B
193252.00, V, DVTLAM, 1, R, 7.75, 15, 01
193252.00, V, DVTLAM, 1, D, 267.13, 15, 13
193252.00, A, DVTLAM, 1, T, 3.88, 12, 11
193252.00, A, DVTLAM, 1, S, 47.5, 15, 24
193252.00, V, DVTLAS, 1, P, 12.38, 15, 20
193252.00, V, DVTLAS, 1, A, 11.94, 15, 34
193252.00, V, DVTLAS, 1, B, 4.69, 15, 01
193252.00, V, DVTLAS, 1, R, 2.56, 15, 1B
193252.00, A, DVTLAS, 1, D, 267.88, 15, 18
193252.00, A, TEY, 2, O, 4.94, 15, 4A
193252.00, A, TEY, 2, C, 0.0, 15, 4F
193252.00, A, TEY, 2, F, 0.0, 15, 4A
193252.00, A, TEY, 2, H, 4.94, 15, 4D
193252.00, V, TSP, 1, X, 0.06, 15, 59
193252.00, V, TSP, 1, Y, 1.84, 15, 53
193255.00, V, DVTLAM, 1, P, 16.13, 15, 34
193255.00, V, DVTLAM, 1, A, 11.19, 15, 28
193255.00, V, DVTLAM, 1, B, 4.38, 15, 1C
193255.00, V, DVTLAM, 1, R, 7.75, 15, 06
193255.00, A, DVTLAM, 1, D, 266.19, 15, 08
193255.00, V, DVTLAM, 1, T, 3.88, 12, 01
193255.00, V, DVTLAM, 1, S, 47.5, 15, 34
193255.00, V, DVTLAS, 1, P, 12.38, 15, 27
193255.00, V, DVTLAS, 1, A, 11.94, 15, 33
193255.00, V, DVTLAS, 1, B, 4.69, 15, 06
193255.00, V, DVTLAS, 1, R, 2.56, 15, 1C
193255.00, A, DVTLAS, 1, D, 266.88, 15, 1E
193255.00, A, TEY, 2, O, 4.56, 15, 43
193255.00, A, TEY, 2, C, 0.5, 15, 4D
193255.00, A, TEY, 2, F, 0.0, 15, 4D
193255.00, A, TEY, 2, H, 5.13, 15, 44
193255.00, A, TSP, 1, Y, 1.69, 10, 45
193255.00, V, TSP, 1, X, 0.06, 10, 5B
193258.00, A, DVTLAM, 1, P, 16.81, 15, 25
193258.00, V, DVTLAM, 1, A, 11.19, 15, 25
193258.00, V, DVTLAM, 1, B, 4.38, 15, 11
193258.00, V, DVTLAM, 1, R, 7.75, 15, 0B
193258.00, A, DVTLAM, 1, D, 266.56, 15, 0E
193258.00, V, DVTLAM, 1, T, 3.88, 12, 0C
193258.00, V, DVTLAM, 1, S, 47.5, 15, 39
193258.00, A, DVTLAS, 1, R, 2.75, 15, 07
193258.00, V, DVTLAS, 1, A, 11.94, 15, 3E
193258.00, V, DVTLAS, 1, B, 4.69, 15, 0B
193258.00, V, DVTLAS, 1, P, 12.38, 15, 2A
193258.00, A, DVTLAS, 1, D, 267.56, 15, 11
193258.00, A, TEY, 2, O, 4.44, 15, 4D
193258.00, A, TEY, 2, C, 0.0, 15, 45
193258.00, A, TEY, 2, F, 0.0, 15, 40
193258.00, A, TEY, 2, H, 4.44, 15, 4A
193258.00, V, TSP, 1, Y, 1.69, 10, 5F
193258.00, V, TSP, 1, X, 0.06, 10, 56
