timestamp hhmmss.ss, status A/V, sensortype, sensorid, measurementid, measurementvalue, qualityfactor, checksum
133358.00, A, TEY, 2, C, 0.31, 15, 4C
133358.00, A, TEY, 2, F, 0.0, 15, 4B
133358.00, A, TEY, 2, H, 5.75, 15, 42
133358.00, V, TSP, 1, X, -0.05, 15, 76
133358.00, V, TSP, 1, Y, 1.44, 15, 5E
133401.00, A, DVTLAM, 1, B, 6.69, 15, 00
133401.00, V, DVTLAM, 1, A, 12.06, 15, 28
133401.00, V, DVTLAM, 1, R, 11.88, 15, 3E
133401.00, V, DVTLAM, 1, P, 18.56, 15, 36
133401.00, A, DVTLAM, 1, D, 192.13, 15, 07
133401.00, V, DVTLAM, 1, T, 1.19, 15, 01
133401.00, V, DVTLAM, 1, S, 47.5, 15, 39
133401.00, A, DVTLAS, 1, P, 11.75, 15, 37
133401.00, V, DVTLAS, 1, A, 14.31, 15, 34
133401.00, V, DVTLAS, 1, B, 7.38, 15, 0C
133401.00, V, DVTLAS, 1, R, 4.5, 15, 11
133401.00, A, DVTLAS, 1, D, 197.75, 15, 1C
133401.00, A, TEY, 2, O, 5.38, 15, 47
133401.00, A, TEY, 2, C, 0.44, 15, 45
133401.00, A, TEY, 2, F, 3.0, 15, 43
133401.00, A, TEY, 2, H, 5.88, 15, 4B
133401.00, V, TSP, 1, X, -0.05, 15, 7D
133401.00, V, TSP, 1, Y, 1.44, 15, 55
133404.00, V, DVTLAM, 1, B, 6.69, 15, 12
133404.00, V, DVTLAM, 1, A, 12.06, 15, 2D
133404.00, V, DVTLAM, 1, R, 11.88, 15, 3B
133404.00, V, DVTLAM, 1, P, 18.56, 15, 33
133404.00, A, DVTLAM, 1, D, 196.13, 12, 01
133404.00, V, DVTLAM, 1, T, 1.19, 15, 04
133404.00, V, DVTLAM, 1, S, 47.5, 15, 3C
133404.00, V, DVTLAS, 1, P, 11.75, 15, 25
133404.00, V, DVTLAS, 1, A, 14.31, 15, 31
133404.00, V, DVTLAS, 1, B, 7.38, 15, 09
133404.00, V, DVTLAS, 1, R, 4.5, 15, 14
133404.00, V, DVTLAS, 1, D, 197.75, 15, 0E
133404.00, A, TEY, 2, O, 5.13, 15, 4B
133404.00, A, TEY, 2, C, 0.0, 15, 40
133404.00, A, TEY, 2, F, 0.0, 15, 45
133404.00, A, TEY, 2, H, 5.13, 15, 4C
133404.00, V, TSP, 1, X, -0.05, 15, 78
133404.00, V, TSP, 1, Y, 1.44, 15, 50
133407.00, A, DVTLAM, 1, P, 14.81, 15, 21
133407.00, V, DVTLAM, 1, A, 12.06, 15, 2E
133407.00, V, DVTLAM, 1, B, 6.69, 15, 11
133407.00, V, DVTLAM, 1, R, 11.88, 15, 38
133407.00, A, DVTLAM, 1, D, 194.31, 15, 07
133407.00, A, DVTLAM, 1, T, 1.25, 15, 1F
133407.00, A, DVTLAM, 1, S, 47.81, 15, 24
133407.00, V, DVTLAS, 1, P, 11.75, 15, 26
133407.00, V, DVTLAS, 1, A, 14.31, 15, 32
133407.00, V, DVTLAS, 1, B, 7.38, 15, 0A
133407.00, V, DVTLAS, 1, R, 4.5, 15, 17
133407.00, A, DVTLAS, 1, D, 196.0, 15, 19
133407.00, A, TEY, 2, O, 5.13, 15, 48
133407.00, A, TEY, 2, C, 0.0, 15, 43
133407.00, A, TEY, 2, F, 0.0, 15, 46
133407.00, A, TEY, 2, H, 5.13, 15, 4F
133407.00, A, TSP, 1, Y, 1.39, 14, 4F
133407.00, V, TSP, 1, X, -0.05, 14, 7A
133410.00, V, DVTLAM, 1, P, 14.81, 15, 30
133410.00, V, DVTLAM, 1, A, 12.06, 15, 28
133410.00, V, DVTLAM, 1, B, 6.69, 15, 17
133410.00, V, DVTLAM, 1, R, 11.88, 15, 3E
133410.00, A, DVTLAM, 1, D, 195.5, 15, 07
133410.00, V, DVTLAM, 1, T, 1.25, 15, 0E
133410.00, V, DVTLAM, 1, S, 47.81, 15, 35
133410.00, A, DVTLAS, 1, R, 5.63, 11, 03
133410.00, V, DVTLAS, 1, A, 14.31, 11, 30
133410.00, V, DVTLAS, 1, B, 7.38, 11, 08
133410.00, V, DVTLAS, 1, P, 11.75, 11, 24
133410.00, A, DVTLAS, 1, D, 196.19, 15, 17
133410.00, A, TEY, 2, O, 4.88, 15, 4D
133410.00, A, TEY, 2, C, 0.0, 15, 45
133410.00, A, TEY, 2, F, 0.0, 15, 40
133410.00, A, TEY, 2, H, 4.88, 15, 4A
133410.00, V, TSP, 1, Y, 1.39, 14, 5E
133410.00, V, TSP, 1, X, -0.05, 14, 7C
133413.00, A, DVTLAM, 1, P, 14.56, 15, 2E
133413.00, V, DVTLAM, 1, A, 12.06, 15, 2B
133413.00, V, DVTLAM, 1, B, 6.69, 15, 14
133413.00, V, DVTLAM, 1, R, 11.88, 15, 3D
133413.00, V, DVTLAM, 1, D, 195.5, 15, 13
133413.00, V, DVTLAM, 1, T, 1.25, 15, 0D
133413.00, A, DVTLAM, 1, S, 47.81, 0, 15
133413.00, A, DVTLAS, 1, A, 13.25, 15, 22
133413.00, V, DVTLAS, 1, B, 7.38, 15, 0F
133413.00, V, DVTLAS, 1, R, 5.63, 15, 13
133413.00, V, DVTLAS, 1, P, 11.75, 15, 23
133413.00, A, DVTLAS, 1, D, 195.0, 15, 1F
133413.00, A, TEY, 2, O, 5.13, 15, 4D
133413.00, A, TEY, 2, C, 0.0, 15, 46
133413.00, A, TEY, 2, F, 3.0, 15, 40
133413.00, A, TEY, 2, H, 5.13, 15, 4A
133413.00, V, TSP, 1, Y, 1.39, 14, 5D
133413.00, V, TSP, 1, X, -0.05, 14, 7F
133416.00, V, DVTLAM, 1, P, 14.56, 15, 3C
133416.00, V, DVTLAM, 1, A, 12.06, 15, 2E
133416.00, V, DVTLAM, 1, B, 6.69, 15, 11
133416.00, V, DVTLAM, 1, R, 11.88, 15, 38
133416.00, A, DVTLAM, 1, D, 195.94, 15, 09
133416.00, V, DVTLAM, 1, T, 1.25, 15, 08
133416.00, V, DVTLAM, 1, S, 47.81, 0, 07
133416.00, V, DVTLAS, 1, A, 13.25, 15, 30
133416.00, V, DVTLAS, 1, B, 7.38, 15, 0A
133416.00, V, DVTLAS, 1, R, 5.63, 15, 16
133416.00, V, DVTLAS, 1, P, 11.75, 15, 26
133416.00, A, DVTLAS, 1, D, 198.94, 1, 2F
133416.00, A, TEY, 2, O, 4.56, 15, 48
133416.00, A, TEY, 2, C, 0.0, 15, 43
133416.00, A, TEY, 2, F, 0.0, 15, 46
133416.00, A, TEY, 2, H, 4.56, 15, 4F
133416.00, V, TSP, 1, Y, 1.39, 14, 58
133416.00, V, TSP, 1, X, -0.05, 14, 7A
133419.00, V, DVTLAM, 1, P, 14.56, 15, 33
133419.00, V, DVTLAM, 1, A, 12.06, 15, 21
133419.00, V, DVTLAM, 1, B, 6.69, 15, 1E
133419.00, V, DVTLAM, 1, R, 11.88, 15, 37
133419.00, A, DVTLAM, 1, D, 196.06, 15, 0E
133419.00, A, DVTLAM, 1, T, 1.19, 15, 1F
133419.00, A, DVTLAM, 1, S, 47.06, 12, 23
133419.00, V, DVTLAS, 1, A, 13.25, 15, 3F
133419.00, V, DVTLAS, 1, B, 7.38, 15, 05
133419.00, V, DVTLAS, 1, R, 5.63, 15, 19
133419.00, V, DVTLAS, 1, P, 11.75, 15, 29
133419.00, A, DVTLAS, 1, D, 197.0, 15, 17
133419.00, A, TEY, 2, O, 4.44, 15, 44
133419.00, A, TEY, 2, C, 0.0, 15, 4C
133419.00, A, TEY, 2, F, 0.0, 15, 49
133419.00, A, TEY, 2, H, 4.44, 15, 43
133419.00, A, TSP, 1, X, 0.21, 15, 48
133419.00, V, TSP, 1, Y, 1.39, 15, 56
133422.00, A, DVTLAM, 1, R, 10.44, 15, 29
133422.00, V, DVTLAM, 1, A, 12.06, 15, 29
133422.00, V, DVTLAM, 1, B, 6.69, 15, 16
133422.00, V, DVTLAM, 1, P, 14.56, 15, 3B
133422.00, V, DVTLAM, 1, D, 196.06, 15, 11
133422.00, V, DVTLAM, 1, T, 1.19, 15, 00
133422.00, V, DVTLAM, 1, S, 47.06, 12, 3C
133422.00, A, DVTLAS, 1, R, 11.13, 14, 35
133422.00, V, DVTLAS, 1, A, 13.25, 14, 36
133422.00, V, DVTLAS, 1, B, 7.38, 14, 0C
133422.00, V, DVTLAS, 1, P, 11.75, 14, 20
133422.00, V, DVTLAS, 1, D, 197.0, 15, 08
133422.00, A, TEY, 2, O, 4.5, 15, 49
133422.00, A, TEY, 2, C, 0.0, 15, 44
133422.00, A, TEY, 2, F, 0.0, 15, 41
133422.00, A, TEY, 2, H, 4.5, 15, 4E
133422.00, V, TSP, 1, X, 0.21, 15, 57
133422.00, V, TSP, 1, Y, 1.39, 15, 5E
133425.00, A, DVTLAM, 1, A, 11.56, 15, 3F
