timestamp hhmmss.ss, status A/V, sensortype, sensorid, measurementid, measurementvalue, qualityfactor, checksum
154840.00, A, DVTLAM, 1, A, 11.81, 1, 0E
154840.00, V, DVTLAM, 1, B, 5.69, 1, 29
154840.00, V, DVTLAM, 1, R, 7.63, 1, 31
154840.00, V, DVTLAM, 1, P, 15.13, 1, 07
154840.00, A, DVTLAM, 1, D, 282.0, 12, 08
154840.00, V, DVTLAM, 1, T, 4.13, 15, 06
154840.00, V, DVTLAM, 1, S, 49.13, 15, 38
154840.00, V, DVTLAS, 1, R, 1.19, 15, 11
154840.00, V, DVTLAS, 1, A, 10.81, 15, 33
154840.00, V, DVTLAS, 1, B, 4.06, 15, 0A
154840.00, V, DVTLAS, 1, P, 11.06, 15, 2C
154840.00, A, DVTLAS, 1, D, 283.75, 15, 12
154840.00, A, TEY, 2, O, 3.63, 15, 47
154840.00, A, TEY, 2, C, 0.0, 15, 4D
154840.00, A, TEY, 2, F, 0.0, 15, 48
154840.00, A, TEY, 2, H, 3.63, 15, 40
154840.00, V, TSP, 1, Y, 1.62, 5, 68
154840.00, V, TSP, 1, X, -0.02, 5, 43
154843.00, V, DVTLAM, 1, A, 11.81, 1, 1A
154843.00, V, DVTLAM, 1, B, 5.69, 1, 2A
154843.00, V, DVTLAM, 1, R, 7.63, 1, 32
154843.00, V, DVTLAM, 1, P, 15.13, 1, 04
154843.00, A, DVTLAM, 1, D, 283.06, 12, 0C
154843.00, V, DVTLAM, 1, T, 4.13, 15, 05
154843.00, V, DVTLAM, 1, S, 49.13, 15, 3B
154843.00, A, DVTLAS, 1, B, 2.44, 15, 1E
154843.00, V, DVTLAS, 1, A, 10.81, 15, 30
154843.00, V, DVTLAS, 1, R, 1.19, 15, 12
154843.00, V, DVTLAS, 1, P, 11.06, 15, 2F
154843.00, A, DVTLAS, 1, D, 283.75, 15, 11
154843.00, A, TEY, 2, O, 3.75, 15, 43
154843.00, A, TEY, 2, C, 0.0, 15, 4E
154843.00, A, TEY, 2, F, 0.0, 15, 4B
154843.00, A, TEY, 2, H, 3.75, 15, 44
154843.00, V, TSP, 1, Y, 1.62, 5, 6B
154843.00, V, TSP, 1, X, -0.02, 5, 40
154846.00, V, DVTLAM, 1, A, 11.81, 1, 1F
154846.00, V, DVTLAM, 1, B, 5.69, 1, 2F
154846.00, V, DVTLAM, 1, R, 7.63, 1, 37
154846.00, V, DVTLAM, 1, P, 15.13, 1, 01
154846.00, V, DVTLAM, 1, D, 283.06, 12, 1E
154846.00, A, DVTLAM, 1, T, 4.13, 15, 17
154846.00, A, DVTLAM, 1, S, 48.38, 15, 21
154846.00, V, DVTLAS, 1, B, 2.44, 15, 0C
154846.00, V, DVTLAS, 1, A, 10.81, 15, 35
154846.00, V, DVTLAS, 1, R, 1.19, 15, 17
154846.00, V, DVTLAS, 1, P, 11.06, 15, 2A
154846.00, V, DVTLAS, 1, D, 283.75, 15, 03
154846.00, A, TEY, 2, O, 4.13, 15, 41
154846.00, A, TEY, 2, C, 0.0, 15, 4B
154846.00, A, TEY, 2, F, 0.0, 15, 4E
154846.00, A, TEY, 2, H, 4.13, 15, 46
154846.00, V, TSP, 1, Y, 1.62, 5, 6E
154846.00, V, TSP, 1, X, -0.02, 5, 45
154849.00, A, DVTLAM, 1, R, 4.69, 14, 12
154849.00, V, DVTLAM, 1, A, 11.81, 14, 24
154849.00, V, DVTLAM, 1, B, 5.69, 14, 14
154849.00, V, DVTLAM, 1, P, 15.13, 14, 3A
154849.00, A, DVTLAM, 1, D, 284.19, 14, 09
154849.00, V, DVTLAM, 1, T, 4.13, 15, 0F
154849.00, V, DVTLAM, 1, S, 48.38, 15, 39
154849.00, A, DVTLAS, 1, P, 15.0, 15, 30
154849.00, V, DVTLAS, 1, A, 10.81, 15, 3A
154849.00, V, DVTLAS, 1, B, 2.44, 15, 03
154849.00, V, DVTLAS, 1, R, 1.19, 15, 18
154849.00, A, DVTLAS, 1, D, 283.69, 15, 16
154849.00, A, TEY, 2, O, 4.38, 15, 47
154849.00, A, TEY, 2, C, 0.0, 15, 44
154849.00, A, TEY, 2, F, 0.0, 15, 41
154849.00, A, TEY, 2, H, 4.38, 15, 40
154849.00, A, TSP, 1, X, -0.04, 15, 6A
154849.00, V, TSP, 1, Y, 1.62, 15, 50
154852.00, V, DVTLAM, 1, R, 4.69, 14, 0F
154852.00, V, DVTLAM, 1, A, 11.81, 14, 2E
154852.00, V, DVTLAM, 1, B, 5.69, 14, 1E
154852.00, V, DVTLAM, 1, P, 15.13, 14, 30
154852.00, A, DVTLAM, 1, D, 281.44, 15, 0F
154852.00, V, DVTLAM, 1, T, 4.13, 15, 05
154852.00, V, DVTLAM, 1, S, 48.38, 15, 33
154852.00, V, DVTLAS, 1, P, 15.0, 15, 2D
154852.00, V, DVTLAS, 1, A, 10.81, 15, 30
154852.00, V, DVTLAS, 1, B, 2.44, 15, 09
154852.00, V, DVTLAS, 1, R, 1.19, 15, 12
154852.00, A, DVTLAS, 1, D, 283.56, 15, 10
154852.00, A, TEY, 2, O, 4.38, 15, 4D
154852.00, A, TEY, 2, C, 0.0, 15, 4E
154852.00, A, TEY, 2, F, 0.0, 15, 4B
