timestamp hhmmss.ss, status A/V, sensortype, sensorid, measurementid, measurementvalue, qualityfactor, checksum
073529.00, A, TEY, 2, C, 0.0, 15, 4B
073529.00, A, TEY, 2, F, 0.0, 15, 4E
073529.00, A, TEY, 2, H, 5.0, 15, 45
073529.00, V, TSP, 1, Y, 0.67, 11, 5F
073529.00, V, TSP, 1, X, 0.0, 11, 5F
073532.00, A, DVTLAM, 1, R, 16.25, 15, 2D
073532.00, V, DVTLAM, 1, A, 16.06, 15, 28
073532.00, V, DVTLAM, 1, B, 8.88, 15, 12
073532.00, V, DVTLAM, 1, P, 13.75, 15, 38
073532.00, A, DVTLAM, 1, D, 588.31, 15, 0C
073532.00, V, DVTLAM, 1, T, 4.5, 15, 0D
073532.00, V, DVTLAM, 1, S, 43.31, 15, 3E
073532.00, A, DVTLAS, 1, P, 7.5, 13, 05
073532.00, V, DVTLAS, 1, A, 10.25, 13, 37
073532.00, V, DVTLAS, 1, B, 7.13, 13, 07
073532.00, V, DVTLAS, 1, R, 7.81, 13, 1C
073532.00, V, DVTLAS, 1, D, 592.88, 15, 0C
073532.00, A, TEY, 2, O, 4.88, 15, 49
073532.00, A, TEY, 2, C, 0.0, 15, 41
073532.00, A, TEY, 2, F, 0.0, 15, 44
073532.00, A, TEY, 2, H, 4.88, 15, 4E
073532.00, A, TSP, 1, X, 0.0, 9, 7B
073532.00, V, TSP, 1, Y, 0.67, 9, 6C
073535.00, V, DVTLAM, 1, R, 16.25, 15, 3D
073535.00, V, DVTLAM, 1, A, 16.06, 15, 2F
073535.00, V, DVTLAM, 1, B, 8.88, 15, 15
073535.00, V, DVTLAM, 1, P, 13.75, 15, 3F
073535.00, V, DVTLAM, 1, D, 588.31, 15, 1C
073535.00, A, DVTLAM, 1, T, 4.44, 15, 18
073535.00, V, DVTLAM, 1, S, 43.31, 15, 39
073535.00, V, DVTLAS, 1, P, 7.5, 13, 15
073535.00, V, DVTLAS, 1, A, 10.25, 13, 30
073535.00, V, DVTLAS, 1, B, 7.13, 13, 00
073535.00, V, DVTLAS, 1, R, 7.81, 13, 1B
073535.00, A, DVTLAS, 1, D, 590.88, 15, 1E
073535.00, A, TEY, 2, O, 4.88, 15, 4E
073535.00, A, TEY, 2, C, 0.0, 15, 46
073535.00, A, TEY, 2, F, 3.0, 15, 40
073535.00, A, TEY, 2, H, 4.88, 15, 49
073535.00, V, TSP, 1, X, 0.0, 9, 6B
073535.00, V, TSP, 1, Y, 0.67, 9, 6B
073538.00, A, DVTLAM, 1, A, 16.56, 15, 30
073538.00, V, DVTLAM, 1, B, 8.88, 15, 18
073538.00, V, DVTLAM, 1, R, 16.25, 15, 30
073538.00, V, DVTLAM, 1, P, 13.75, 15, 32
073538.00, A, DVTLAM, 1, D, 588.88, 15, 04
073538.00, V, DVTLAM, 1, T, 4.44, 15, 02
073538.00, V, DVTLAM, 1, S, 43.31, 15, 34
073538.00, V, DVTLAS, 1, P, 7.5, 13, 18
073538.00, V, DVTLAS, 1, A, 10.25, 13, 3D
073538.00, V, DVTLAS, 1, B, 7.13, 13, 0D
073538.00, V, DVTLAS, 1, R, 7.81, 13, 16
073538.00, V, DVTLAS, 1, D, 590.88, 15, 04
073538.00, A, TEY, 2, O, 4.81, 15, 4A
073538.00, A, TEY, 2, C, 0.0, 15, 4B
073538.00, A, TEY, 2, F, 3.0, 15, 4D
073538.00, A, TEY, 2, H, 4.81, 15, 4D
073538.00, V, TSP, 1, X, 0.0, 9, 66
073538.00, V, TSP, 1, Y, 0.67, 9, 66
073541.00, V, DVTLAM, 1, A, 16.56, 15, 29
073541.00, V, DVTLAM, 1, B, 8.88, 15, 16
073541.00, V, DVTLAM, 1, R, 16.25, 15, 3E
073541.00, V, DVTLAM, 1, P, 13.75, 15, 3C
073541.00, V, DVTLAM, 1, D, 588.88, 15, 1D
073541.00, V, DVTLAM, 1, T, 4.44, 15, 0C
073541.00, A, DVTLAM, 1, S, 45.38, 15, 22
073541.00, A, DVTLAS, 1, R, 4.56, 15, 00
073541.00, V, DVTLAS, 1, A, 10.25, 15, 35
073541.00, V, DVTLAS, 1, B, 7.13, 15, 05
073541.00, V, DVTLAS, 1, P, 7.5, 15, 10
073541.00, A, DVTLAS, 1, D, 591.88, 15, 1C
073541.00, A, TEY, 2, O, 4.75, 10, 4A
073541.00, A, TEY, 2, C, 0.0, 10, 40
073541.00, A, TEY, 2, F, 0.0, 10, 45
073541.00, A, TEY, 2, H, 4.75, 10, 4D
073541.00, V, TSP, 1, X, 0.0, 9, 68
073541.00, V, TSP, 1, Y, 0.67, 9, 68
073544.00, V, DVTLAM, 1, A, 16.56, 15, 2C
073544.00, V, DVTLAM, 1, B, 8.88, 15, 13
073544.00, V, DVTLAM, 1, R, 16.25, 15, 3B
073544.00, V, DVTLAM, 1, P, 13.75, 15, 39
073544.00, V, DVTLAM, 1, D, 588.88, 15, 18
073544.00, V, DVTLAM, 1, T, 4.44, 15, 09
073544.00, V, DVTLAM, 1, S, 45.38, 15, 30
073544.00, A, DVTLAS, 1, A, 11.0, 15, 21
073544.00, V, DVTLAS, 1, B, 7.13, 15, 00
073544.00, V, DVTLAS, 1, R, 4.56, 15, 12
073544.00, V, DVTLAS, 1, P, 7.5, 15, 15
073544.00, V, DVTLAS, 1, D, 591.88, 15, 0E
073544.00, A, TEY, 2, O, 4.63, 15, 4D
073544.00, A, TEY, 2, C, 0.0, 15, 40
073544.00, A, TEY, 2, F, 3.0, 15, 46
073544.00, A, TEY, 2, H, 4.63, 15, 4A
073544.00, A, TSP, 1, Y, 0.67, 0, 73
073544.00, V, TSP, 1, X, 0.0, 0, 64
073547.00, A, DVTLAM, 1, R, 12.44, 15, 2C
073547.00, V, DVTLAM, 1, A, 16.56, 15, 2F
073547.00, V, DVTLAM, 1, B, 8.88, 15, 10
073547.00, V, DVTLAM, 1, P, 13.75, 15, 3A
073547.00, A, DVTLAM, 1, D, 588.56, 15, 0F
